FileName,ElevationM,Date,Lat,Lon,DamLength,Notes,Area,Mapper,State,MapperID
A2Dam118,0.00,9/1/2014,40.8903650,-106.5712670,105.0,,2,BO,CO,A
A2Dam119,0.00,9/1/2014,40.8904520,-106.5715500,29.1,,2,BO,CO,A
A2Dam120,0.00,6/1/2014,40.8915150,-106.5715810,301.0,"Seems pretty big, maybe it's two seperate dams",2,BO,CO,A
A2Dam121,0.00,6/1/2014,40.8915960,-106.5708450,44.0,,2,BO,CO,A
A2Dam122,0.00,6/1/2014,40.8918780,-106.5720550,64.0,,2,BO,CO,A
A2Dam123,0.00,6/1/2014,40.8927890,-106.5717750,36.5,,2,BO,CO,A
A2Dam124,0.00,6/1/2014,40.8913420,-106.5706940,73.3,"This one may not be, it looks a little shrubby along the edges",2,BO,CO,A
A2Dam125,0.00,9/1/2014,40.8915430,-106.5729920,65.2,,2,BO,CO,A
A2Dam126,0.00,9/1/2014,40.8916670,-106.5737450,37.5,,2,BO,CO,A
A2Dam127,0.00,9/1/2014,40.8907290,-106.5710700,26.0,,2,BO,CO,A
A2Dam128,0.00,9/1/2014,40.8915790,-106.5743930,46.5,,2,BO,CO,A
A2Dam129,0.00,9/1/2014,40.8898250,-106.5744750,11.3,,2,BO,CO,A
A2Dam130,0.00,9/1/2014,40.8898230,-106.5747410,15.9,,2,BO,CO,A
A2Dam131,0.00,9/1/2014,40.8899100,-106.5749770,20.1,Not sure bout this one,2,BO,CO,A
A2Dam132,0.00,9/1/2014,40.8896400,-106.5751170,24.6,Maybe,2,BO,CO,A
A2Dam133,0.00,9/1/2014,40.8898230,-106.5767850,89.4,,2,BO,CO,A
A2Dam134,0.00,9/1/2014,40.8897960,-106.5766150,83.7,May have mapped it a little longer than it is,2,BO,CO,A
A2Dam135,0.00,9/1/2014,40.8899980,-106.5761930,20.9,,2,BO,CO,A
A2Dam136,0.00,9/1/2014,40.8904100,-106.5762290,33.8,,2,BO,CO,A
A2Dam137,0.00,9/1/2014,40.8907250,-106.5762720,22.7,,2,BO,CO,A
A2Dam138,0.00,9/1/2014,40.8909580,-106.5755800,47.7,,2,BO,CO,A
A2Dam139,0.00,9/1/2014,40.8901380,-106.5742950,9.5,,2,BO,CO,A
A2Dam140,0.00,6/1/2014,40.8933380,-106.5712760,26.4,,2,BO,CO,A
A2Dam141,0.00,9/1/2014,40.8937640,-106.5708410,40.0,Vegetation along the edge makes it difficult to tell if dam,2,BO,CO,A
